COMPANY,CAREERS URL,ATS,SOURCE_TYPE,SOURCE_IDENTIFIER,APPTIE,APPTIE_STATUS,SEED_PRIORITY,SEED_READY,REVIEW_STATUS,MAX_ACCEPTED,ALLOWED_LOCATION_PATTERNS_JSON,LOCATION_RULES_JSON,INCLUDE_KEYWORDS,EXCLUDE_KEYWORDS,LAST_CHECKED,SEED_NOTES,APPTIE_AUDIT_NOTE,NOTES,APPROVED,SOURCE_FILES,URL_VARIANTS
Gecko Robotics,https://www.geckorobotics.com/careers,Greenhouse,greenhouse,gecko-robotics,Pittsburgh HQ,strong,P1,ready,configured,12.0,"[""Pittsburgh"", ""Remote""]","[{""match"": ""Pittsburgh"", ""locationState"": ""Pennsylvania"", ""locationRegion"": ""Western PA"", ""locationCity"": ""Pittsburgh""}]","engineer, software, security, data, forward deployed, product, technical program manager, machine learning, devops, platform","recruiter, executive assistant, public affairs, communications",,Starter source config already exists.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
Hellbender,https://hellbender.com/careers/,Greenhouse,greenhouse,hellbenderinc,Pittsburgh Small Tech,strong,P2,research,unreviewed,4.0,,,,,2026-03-17,"Official site links to a real Pittsburgh Greenhouse board with in-bounds engineering roles, but the current public postings do not expose numeric compensation.","Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",Visible roles include Embedded Software Engineer and Perception Engineer in Pittsburgh.,,web-discovery,
IBM (Binghamton),https://www.ibm.com/employment/,Workday,,,Binghamton NY base,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Binghamton is in Broome County, New York, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Iconic Air,https://www.iconicair.io/careers,Custom / ApplyToJob,,,Morgantown HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Morgantown is in Monongalia County, West Virginia; all of West Virginia is within ARC.",,,appalachia_tech_companies.csv,1
InspectionGo,https://inspectiongo.com/about/careers/,BambooHR,,,Morgantown Startup,strong,P2,research,unreviewed,,,,,,2026-03-17,"BambooHR careers board confirmed, but compensation is not publicly visible and the role surface still needs tighter extraction.","Morgantown is in Monongalia County, West Virginia; all of West Virginia is within ARC.",Promising startup lane if public compensation can be confirmed later.,,appalachia_startups_agencies.csv,
Intuitive Research & Technology,https://www.irt-corp.com/careers/,Custom,,,Huntsville AL HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Jacobs Engineering,https://careers.jacobs.com/,Workday,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Jetpack Workflow,https://jetpackworkflow.com/careers,Workable,,,Pittsburgh Startup,strong,P2,research,unreviewed,,,,,,2026-03-17,"Workable board and adapter are confirmed, but the current public board has zero openings.","Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.","Original CSV marked JazzHR, but the live board is Workable.",,appalachia_startups_agencies.csv; sources.jetpack-eval.json,
Kennametal,https://www.kennametal.com/en/about/careers.html,SAP SuccessFactors,,,Latrobe PA HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Latrobe is in Westmoreland County, Pennsylvania, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
KlariVis,https://klarivis.com/careers/,Paylocity,,,Roanoke Startup,regional,P3,backlog,unreviewed,,,,,,2026-03-17,"Public Paylocity detail page is real, but the current visible role is generic sales and no public numeric compensation is shown.",Roanoke is being treated as an intentional regional Appalachian inclusion for HOLLER.WORKS even though it is outside ARC county boundaries.,Current visible role: Senior Sales Executive.,,appalachia_startups_agencies.csv,
Leidos,https://careers.leidos.com/,Workday,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Lirio,https://boards.greenhouse.io/lirio,Greenhouse,greenhouse,lirio,Tennessee regional ecosystem / LaunchTN lead,regional,P1,ready,configured,8.0,"[""Remote""]","[{""match"": ""Remote"", ""locationState"": ""Tennessee"", ""locationRegion"": ""East Tennessee"", ""locationCity"": ""Remote"", ""remoteFriendly"": true}]","engineer, platform, cloud, ai, machine learning, security, technical, software, qa","recruiter, marketing, sales",2026-03-16,Added from Launch Tennessee Getro board. Direct Greenhouse source confirmed and wired into starter config. Treat as regional Tennessee inclusion.,Included as a regional Tennessee ecosystem lead rather than strict ARC geography. Remote technical roles only.,,,getro-company-leads.csv; sources.appalachia-starters.json,1
Lockheed Martin,https://www.lockheedmartin.com/en-us/careers.html,Workday,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Mayvue,https://www.mayvue.com/careers/,ApplyToJob,,,Pittsburgh Small Tech,strong,P2,research,unreviewed,,,,,,2026-03-17,"Real ApplyToJob board with multiple technical roles, but the public pages do not currently expose numeric compensation.","Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.","Visible technical roles include Software Development Manager, Software Engineer Mid to Senior Level, and a Full-Stack AI-focused engineer.",,appalachia_startups_agencies.csv,
MSA Safety,https://www.msasafety.com/en/about-msa/careers/job-openings,Workday,,,Cranberry Twp PA HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Cranberry Township is in Butler County, Pennsylvania, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
NextGen Federal Systems,https://nextgenfed.com/careers,ADP,,,Morgantown HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Morgantown is in Monongalia County, West Virginia; all of West Virginia is within ARC.",,,appalachia_tech_companies.csv,1
Northrop Grumman,https://www.northropgrumman.com/careers/,Workday,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Oak Ridge National Laboratory,https://jobs.ornl.gov/,SuccessFactors,,,Oak Ridge TN,strong,P2,research,unreviewed,,,,,,2026-03-17,"High-value technical employer, but sampled public job pages did not expose compensation. Keep as research until a public compensation-bearing surface is found.","Oak Ridge is in Anderson County, Tennessee, which ARC lists as Appalachian.","Researched directly from jobs.ornl.gov. In-bounds employer, but compensation remains the blocker.",,appalachian-tech-companies.csv,1
Parsons Corporation,https://careers.parsons.com/,Taleo,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Pilot Company,https://pilotflyingj.com/careers/,iCIMS,,,Knoxville TN HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Knoxville is in Knox County, Tennessee, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Radiance Technologies,https://www.radiancetech.com/careers/,Custom,,,Huntsville AL HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Radio Systems Corp (PetSafe),https://www.petsafe.com/about-us/careers/,Workday,,,Knoxville HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Knoxville is in Knox County, Tennessee, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
Radio Systems Corporation,https://www.radiosystemscorp.com/careers/,Custom,,,Knoxville TN HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Knoxville is in Knox County, Tennessee, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
SAIC,https://www.saic.com/careers,Workday,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Shipt,https://www.shipt.com/careers,Workday,,,Birmingham HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Birmingham is in Jefferson County, Alabama, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
Skild AI,https://www.skild.ai/career,Greenhouse,greenhouse,skildai-careers,Pittsburgh Startup,strong,P1,ready,configured,6,,,,,2026-03-17,Promoted into the starter rotation after a clean 12-for-12 approved eval. Keep Skild capped so it broadens the board without crowding out other startup sources.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.","Strict starter config excludes broad support/operator titles and keeps a public-comp AI, robotics, infrastructure, security, and research engineering slice.",,web-discovery; sources.skild-eval.json; sources.appalachia-starters.json,
Stack AV,https://job-boards.greenhouse.io/stackav,Greenhouse,greenhouse,stackav,Pittsburgh Startup,strong,P2,research,unreviewed,6.0,,,,,2026-03-17,"Real Pittsburgh-heavy Greenhouse board with a strong technical slice, but sampled technical postings did not expose usable public compensation.","Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.","Good technical fit on paper: remote assist, autonomy, ML, and perception roles centered on Pittsburgh.",,web-discovery,
Teledyne Brown Engineering,https://www.teledyne.com/en-us/careers,Workday,,,Huntsville AL HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Tennessee Valley Authority,https://www.tva.com/about-tva/careers,Taleo,,,Knoxville TN HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Knoxville is in Knox County, Tennessee, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Toast,https://careers.toasttab.com/,Greenhouse,greenhouse,toast,Pittsburgh / Western PA slice,strong,P2,ready,configured,10.0,"[""Pittsburgh, PA""]","[{""match"": ""Pittsburgh, PA"", ""locationState"": ""Pennsylvania"", ""locationRegion"": ""Western PA"", ""locationCity"": ""Pittsburgh""}]","customer success, implementation, support, analyst, design, product, engineer, manager, solutions engineer, sales engineer, technical account","account executive, territory account executive, business development representative, sales development representative",2026-03-16,Used as a selective Pittsburgh slice rather than a broad board import. Generic sales roles are excluded under HOLLER.WORKS policy.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",,,sources.appalachia-starters.json,1
Torch Technologies,https://www.torchtech.com/careers/,Custom,,,Huntsville AL HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Unum Group,https://www.unum.com/about/careers,Workday,,,Chattanooga TN HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Chattanooga is in Hamilton County, Tennessee, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Virginia Tech,https://jobs.vt.edu/,PageUp research,custom,,Blacksburg / Southwest Virginia,strong,P1,ready,configured,4.0,,,,,2026-03-17,"Promoted into the starter rotation as a capped four-role slice. Public jobs.apply.vt.edu search is category-filterable, sampled tech-role detail pages expose salary, and the stricter prototype now yields a clean four-role batch.","Blacksburg is in Montgomery County, Virginia, which ARC lists as Appalachian.",Configured in sources.appalachia-starters.json and kept intentionally capped while the academic lane continues to mature.,,appalachia-academic-tech-source-map.csv,1
Volkswagen Group of America IT,https://www.vw.com/en/models/vw-careers.html,Custom,,,Chattanooga TN hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Chattanooga is in Hamilton County, Tennessee, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Warner Bros. Discovery,https://careers.wbd.com/,Workday,,,Knoxville Hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Knoxville is in Knox County, Tennessee, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
West Virginia University,https://careers.wvu.edu/internal-and-external-portal,Taleo research,custom,,Morgantown / Northern WV,strong,P2,research,unreviewed,,,,,,2026-03-17,"Public Taleo endpoint and detail pages are real, but sampled public tech-role pages did not expose compensation. Keep WVU as a filtered academic research lane rather than an import-ready source.",Morgantown is in Monongalia County West Virginia; all of West Virginia is within ARC.,Updated after confirming public Taleo search and detail pages. Compensation is still missing on sampled tech roles.,,appalachia-academic-tech-source-map.csv,1
WVU Medicine,https://careers.wvumedicine.org/,,,,Morgantown WV,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Morgantown is in Monongalia County, West Virginia; all of West Virginia is within ARC.",,,appalachian-tech-companies.csv,1
